timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-01,149.98,150.01,147.34,149.16,149.16,4495924,0,1
2022-11-30,146.19,149.64,145.67,148.9,148.9,6377582,0,1
2022-11-29,145.91,147.1668,145.7,146.49,146.49,2754744,0,1
2022-11-28,147.98,148.24,145.935,146.18,146.18,3538696,0,1
2022-11-25,148.27,149.49,148.101,148.37,148.37,2075156,0,1
2022-11-23,149.1,150.46,148.3,148.75,148.75,3658459,0,1
2022-11-22,147.6,149.35,147.02,149.1,149.1,7062060,0,1
2022-11-21,147.55,147.928,146.45,146.68,146.68,3476208,0,1
2022-11-18,146.56,148.31,145.94,147.64,147.64,4661735,0,1
2022-11-17,143.41,146.18,143.25,146.09,146.09,3955162,0,1
2022-11-16,144.13,144.95,144.0081,144.52,144.52,3445302,0,1
2022-11-15,144.08,146.1609,142,144.34,144.34,4727107,0,1
2022-11-14,142.63,146.08,142.18,144.2,144.2,5245624,0,1
2022-11-11,141.5,144.13,140.96,143.17,143.17,5871264,0,1
2022-11-10,140.26,141.37,138.29,141.23,141.23,5389025,0,1
2022-11-09,137.95,138.9,136.94,137.39,137.39,4720007,1.65,1
2022-11-08,139,140.93,138.72,140.04,138.378132911,5042756,0,1
2022-11-07,136.64,138.7,136.51,138.34,136.698306962,4043062,0,1
2022-11-04,135.65,137.73,134.94,136.96,135.334683544,4177972,0,1
2022-11-03,136.42,136.48,133.97,134.47,132.874232595,4442443,0,1
2022-11-02,137.75,140.17,136.8,136.83,135.206226266,5365264,0,1
2022-11-01,138.25,138.65,136.7,138.2,136.559968354,3590607,0,1
2022-10-31,138.06,138.7699,136.595,138.29,136.648900316,4915270,0,1
2022-10-28,135.56,138.8615,135.22,138.51,136.866289557,5965457,0,1
2022-10-27,135.55,136.4,134.445,134.77,133.170672468,3993168,0,1
2022-10-26,133.72,135.863,132.81,135.01,133.407824367,5140023,0,1
2022-10-25,132,133.3,131.3,132.93,131.352507911,5957623,0,1
2022-10-24,130.9,133.11,129.85,132.69,131.115356013,5610914,0,1
2022-10-21,128.39,130.845,127.59,129.9,128.35846519,7201256,0,1
2022-10-20,126.25,128.96,125.15,128.3,126.777452532,13623115,0,1
2022-10-19,122.36,123.94,121.9875,122.51,121.056162975,5906576,0,1
